iteration,num_pairs,num_points,cross_entropy_nats,mi_proxy_neg_ce,miou_thr,miou,prompts_json
0,1,2,0.00858952198177576,-0.00858952198177576,0.5,0.9779581661194211,prompts_iter_00.json
1,2,4,0.006925614550709724,-0.006925614550709724,0.5,0.9835062272407357,prompts_iter_01.json
2,3,6,0.017147524282336235,-0.017147524282336235,0.5,0.9084110423783585,prompts_iter_02.json
3,4,8,0.007618026342242956,-0.007618026342242956,0.5,0.9809824217553745,prompts_iter_03.json
4,5,10,0.015086162835359573,-0.015086162835359573,0.5,0.9363100356221594,prompts_iter_04.json
5,6,12,0.01602257415652275,-0.01602257415652275,0.5,0.9280378715686576,prompts_iter_05.json
6,7,14,0.007840008474886417,-0.007840008474886417,0.5,0.9807639123621055,prompts_iter_06.json
7,8,16,0.007451956160366535,-0.007451956160366535,0.5,0.9828009828009828,prompts_iter_07.json
8,9,18,0.007555924355983734,-0.007555924355983734,0.5,0.9825940138142748,prompts_iter_08.json
9,10,20,0.007565956097096205,-0.007565956097096205,0.5,0.9831334907540863,prompts_iter_09.json
10,11,22,0.009195691905915737,-0.009195691905915737,0.5,0.977727942983534,prompts_iter_10.json
11,12,24,0.008513509295880795,-0.008513509295880795,0.5,0.9813797969262861,prompts_iter_11.json
12,13,26,0.009222066961228848,-0.009222066961228848,0.5,0.9809810116874751,prompts_iter_12.json
13,14,28,0.01023771520704031,-0.01023771520704031,0.5,0.9733499832485609,prompts_iter_13.json
14,15,30,0.010825037956237793,-0.010825037956237793,0.5,0.9716040374559163,prompts_iter_14.json
15,16,32,0.011412927880883217,-0.011412927880883217,0.5,0.9680181543116491,prompts_iter_15.json
16,17,34,0.012918970547616482,-0.012918970547616482,0.5,0.964090977556861,prompts_iter_16.json
17,18,36,0.013996109366416931,-0.013996109366416931,0.5,0.9594967046135411,prompts_iter_17.json
18,19,38,0.01488722488284111,-0.01488722488284111,0.5,0.9581476052293056,prompts_iter_18.json
19,20,40,0.01564761996269226,-0.01564761996269226,0.5,0.9558915630312248,prompts_iter_19.json
20,21,42,0.0178904477506876,-0.0178904477506876,0.5,0.9491480298189563,prompts_iter_20.json
21,22,44,0.018343286588788033,-0.018343286588788033,0.5,0.9474336648859243,prompts_iter_21.json
22,23,46,0.018401293084025383,-0.018401293084025383,0.5,0.9463180237014327,prompts_iter_22.json
23,24,48,0.01817222498357296,-0.01817222498357296,0.5,0.947809906370913,prompts_iter_23.json
24,25,50,0.019890159368515015,-0.019890159368515015,0.5,0.9417672451766365,prompts_iter_24.json
25,26,52,0.020835982635617256,-0.020835982635617256,0.5,0.9383026650674312,prompts_iter_25.json
26,27,54,0.02263544499874115,-0.02263544499874115,0.5,0.9331820694068709,prompts_iter_26.json
27,28,56,0.02304498851299286,-0.02304498851299286,0.5,0.9325770796974986,prompts_iter_27.json
28,29,58,0.02474825084209442,-0.02474825084209442,0.5,0.9269625560213965,prompts_iter_28.json
29,30,60,0.02784247137606144,-0.02784247137606144,0.5,0.9146605818596691,prompts_iter_29.json
30,31,62,0.03067907504737377,-0.03067907504737377,0.5,0.9037811337766257,prompts_iter_30.json
31,32,64,0.033123765140771866,-0.033123765140771866,0.5,0.8948308087148158,prompts_iter_31.json
32,33,66,0.03519075736403465,-0.03519075736403465,0.5,0.8860654605717442,prompts_iter_32.json
33,34,68,0.037235647439956665,-0.037235647439956665,0.5,0.8797126484055825,prompts_iter_33.json
34,35,70,0.03626280650496483,-0.03626280650496483,0.5,0.8809360322997061,prompts_iter_34.json
35,36,72,0.041183896362781525,-0.041183896362781525,0.5,0.8597078922685247,prompts_iter_35.json
36,37,74,0.04282486438751221,-0.04282486438751221,0.5,0.8532407776802574,prompts_iter_36.json
37,38,76,0.04597337916493416,-0.04597337916493416,0.5,0.841576628553446,prompts_iter_37.json
38,39,78,0.047520965337753296,-0.047520965337753296,0.5,0.8363953821697547,prompts_iter_38.json
39,40,80,0.04947889596223831,-0.04947889596223831,0.5,0.829658541628971,prompts_iter_39.json
40,41,82,0.06074914708733559,-0.06074914708733559,0.5,0.8010176086197436,prompts_iter_40.json
41,42,84,0.06125420331954956,-0.06125420331954956,0.5,0.8007477567298106,prompts_iter_41.json
42,43,86,0.06510981172323227,-0.06510981172323227,0.5,0.7901765950120517,prompts_iter_42.json
43,44,88,0.07367892563343048,-0.07367892563343048,0.5,0.7688865490918663,prompts_iter_43.json
44,45,90,0.07887923717498779,-0.07887923717498779,0.5,0.7569254687647226,prompts_iter_44.json
45,46,92,0.08251078426837921,-0.08251078426837921,0.5,0.7494228751311648,prompts_iter_45.json
46,47,94,0.08603619784116745,-0.08603619784116745,0.5,0.7425310196631161,prompts_iter_46.json
47,48,96,0.08859918266534805,-0.08859918266534805,0.5,0.7372961068159398,prompts_iter_47.json
48,49,98,0.09590775519609451,-0.09590775519609451,0.5,0.7256513297512078,prompts_iter_48.json
49,50,100,0.08536635339260101,-0.08536635339260101,0.5,0.7440024082993701,prompts_iter_49.json
50,51,102,0.09117395430803299,-0.09117395430803299,0.5,0.7319829570051721,prompts_iter_50.json
51,52,104,0.09508641809225082,-0.09508641809225082,0.5,0.7238846327174403,prompts_iter_51.json
52,53,106,0.09627783298492432,-0.09627783298492432,0.5,0.7185814968117239,prompts_iter_52.json
53,54,108,0.0910673439502716,-0.0910673439502716,0.5,0.7370898486831531,prompts_iter_53.json
54,55,110,0.09133413434028625,-0.09133413434028625,0.5,0.7357625759138307,prompts_iter_54.json
55,56,112,0.09729383140802383,-0.09729383140802383,0.5,0.7251699758306792,prompts_iter_55.json
56,57,114,0.08595745265483856,-0.08595745265483856,0.5,0.756136053139869,prompts_iter_56.json
57,58,116,0.08713037520647049,-0.08713037520647049,0.5,0.7527963418923672,prompts_iter_57.json
58,59,118,0.08306337147951126,-0.08306337147951126,0.5,0.764905003694963,prompts_iter_58.json
59,60,120,0.08663664013147354,-0.08663664013147354,0.5,0.7574126534466478,prompts_iter_59.json
60,61,122,0.08938293904066086,-0.08938293904066086,0.5,0.7511470037453184,prompts_iter_60.json
61,62,124,0.0916387066245079,-0.0916387066245079,0.5,0.7474846282839576,prompts_iter_61.json
62,63,126,0.09328342229127884,-0.09328342229127884,0.5,0.7436093536350784,prompts_iter_62.json
63,64,128,0.09512636065483093,-0.09512636065483093,0.5,0.739744033206503,prompts_iter_63.json
64,65,130,0.0994403213262558,-0.0994403213262558,0.5,0.7313174157943947,prompts_iter_64.json
65,66,132,0.10149701684713364,-0.10149701684713364,0.5,0.7278175008512087,prompts_iter_65.json
66,67,134,0.1029820516705513,-0.1029820516705513,0.5,0.7250977997874409,prompts_iter_66.json
67,68,136,0.10538056492805481,-0.10538056492805481,0.5,0.7200062849318758,prompts_iter_67.json
68,69,138,0.10481799393892288,-0.10481799393892288,0.5,0.7218833697193401,prompts_iter_68.json
69,70,140,0.10750672221183777,-0.10750672221183777,0.5,0.71712158808933,prompts_iter_69.json
70,71,142,0.10881485790014267,-0.10881485790014267,0.5,0.7136787311191689,prompts_iter_70.json
71,72,144,0.11789428442716599,-0.11789428442716599,0.5,0.6925384731605189,prompts_iter_71.json
72,73,146,0.11950916051864624,-0.11950916051864624,0.5,0.6892211195600808,prompts_iter_72.json
73,74,148,0.12111807614564896,-0.12111807614564896,0.5,0.6853548621345122,prompts_iter_73.json
74,75,150,0.12550362944602966,-0.12550362944602966,0.5,0.6758453597387549,prompts_iter_74.json
75,76,152,0.13025973737239838,-0.13025973737239838,0.5,0.6635585511081707,prompts_iter_75.json
76,77,154,0.1285121589899063,-0.1285121589899063,0.5,0.6678740190262079,prompts_iter_76.json
77,78,156,0.12879900634288788,-0.12879900634288788,0.5,0.6673531369612248,prompts_iter_77.json
78,79,158,0.13271544873714447,-0.13271544873714447,0.5,0.6585440959106585,prompts_iter_78.json
79,80,160,0.13560526072978973,-0.13560526072978973,0.5,0.6526305077846749,prompts_iter_79.json
80,81,162,0.13650183379650116,-0.13650183379650116,0.5,0.6498440601077403,prompts_iter_80.json
81,82,164,0.13883359730243683,-0.13883359730243683,0.5,0.6447056459714687,prompts_iter_81.json
82,83,166,0.14129333198070526,-0.14129333198070526,0.5,0.6391727930189469,prompts_iter_82.json
83,84,168,0.1447848081588745,-0.1447848081588745,0.5,0.6322011190795177,prompts_iter_83.json
84,85,170,0.15099723637104034,-0.15099723637104034,0.5,0.6196103419645098,prompts_iter_84.json
85,86,172,0.1528933048248291,-0.1528933048248291,0.5,0.6169672730069607,prompts_iter_85.json
86,87,174,0.1508893519639969,-0.1508893519639969,0.5,0.6226129188926663,prompts_iter_86.json
87,88,176,0.14897119998931885,-0.14897119998931885,0.5,0.6266017176281863,prompts_iter_87.json
88,89,178,0.1502908319234848,-0.1502908319234848,0.5,0.6230015170965106,prompts_iter_88.json
89,90,180,0.15583868324756622,-0.15583868324756622,0.5,0.6138797877028607,prompts_iter_89.json
90,91,182,0.1573459506034851,-0.1573459506034851,0.5,0.6112615877617976,prompts_iter_90.json
91,92,184,0.15949048101902008,-0.15949048101902008,0.5,0.6073296445084515,prompts_iter_91.json
92,93,186,0.16219687461853027,-0.16219687461853027,0.5,0.6024207341139324,prompts_iter_92.json
93,94,188,0.16190309822559357,-0.16190309822559357,0.5,0.6033655203568807,prompts_iter_93.json
94,95,190,0.17690666019916534,-0.17690666019916534,0.5,0.5807649125348593,prompts_iter_94.json
95,96,192,0.17819879949092865,-0.17819879949092865,0.5,0.5771209613585666,prompts_iter_95.json
96,97,194,0.18134713172912598,-0.18134713172912598,0.5,0.5729466183272909,prompts_iter_96.json
97,98,196,0.1812831163406372,-0.1812831163406372,0.5,0.5738743090216283,prompts_iter_97.json
98,99,198,0.1833450049161911,-0.1833450049161911,0.5,0.5713115483928413,prompts_iter_98.json
99,100,200,0.17413438856601715,-0.17413438856601715,0.5,0.5841284871440018,prompts_iter_99.json
